count-0;Comptage des messages...;Counting messages...
count-1;Vous avez posté {count} messages dans ce salon;You have posted {count} messages in this channel
msg-0;{0} vient d'offrir une boite de cookies à <@375598088850505728> ! <:cookies_eat:421791321410240514>;{0} just offered <@375598088850505728> a bow of cookies! <:cookies_eat:421791321410240514>
msg-1;Coucou :wave: Je suis là {0};Hello :wave: I'm here {0}
msg-2;":wave: Coucou ! Je suis là !
Tu voulais peut-être dire `!help` ?";":wave: Hi ! I'm here !
Maybe you meant `!help`?"
msg-3;Youpi ! C'est l'heure de faire la fête !;Yippee! Time to party!
msg-4;Vous souhaitez reporter un membre ou un serveur à l'équipe de Discord ? C'est par ici;You wish to report a member or a server to the Discord staff? It's this way
msg-5;Impossible de trouver le message correspondant. Il faut rentrer l'ID du message en 1er argument, et l'émoji en 2e :upside_down:;Unable to find the corresponding message. You need to enter the message ID as the first argument, and the emoji as the second point :upside_down:
msg-6;Raté, c'est tombé sur la tranche !;Failed, it fell on the side!
msg-7;"['{0} a été épargné par Thanos', ""Thanos a décidé de réduire {0} en cendres. Pour le bien de l'humanité...""]";['{0} was spared by Thanos', 'Thanos decided to reduce {0} to ashes. For the good of humanity...']
invitation-0;"Oops, je n'ai pas les permissions de créer une invitation (""Gérer le serveur"")";"Oops, I don't have permission to create an invitation (""Manage server"")"
invitation-1;"__**Lien d'invitation du serveur :**__

:incoming_envelope: Voici un lien d'invitation pour le salon {} (Il lui reste encore {} utilisations - {} secondes) : ";"__**Server invitation link :**__

:incoming_envelope: Here is a link to the channel {} (He still has {} uses - {} seconds left) : "
calc-0;Oups, erreur de calcul;Oops, calculating error
calc-1;"<:maths:451067921121148937> | Vous pouvez utiliser cette commande pour effectuer un calcul, tels que des sommes, produits...
Vous avez aussi accès à d'autres sortes de calculs plus élaborés comme les nombres random. Il vous suffit pour cela de rentrer random()`, ou `randint(0,10)` par exemple.
Les calculs de type sinus sont aussi acceptés, pour cela entrez simplement `sin(pi)` ou `sin(90)`. Par défaut les calculs sont faits en radians.
";"<:maths:451067921121148937> | You can use this command to calculate such things as sums, products...
You also have access to other kinds of more elaborate calculations such as random numbers. All you have to do is enter `random()`, or `randint(0,10)` for example.
Sine calculations are also accepted, just enter `sin(pi)` or `sin(90)`. By default the calculations are done in radians."
liste-0;Voici la liste des commandes *inutiles donc indispensables* que je possède :;Here is the list of *useless and thus essential* commands that I have:

change_game-0;Sélectionnez *play*, *watch*, *listen* ou *stream* suivi du nom;Select *play*, *watch*, *listen* or *stream* followed by the name
hear_init-0;ID invalide;Invalid ID
heard_init-1;Erreur;Error
heard_init-2;Impossible de trouver ce serveur/salon;Can't find this server/channel
heard_init-3;Mise sous écoute du salon {} (serveur {});Listening of the channel {} (server {})
msg_2-0;Création de la sauvegarde...;Creating backup...
msg_2-1;Bot en voie d'extinction;Bot shutdown
msg_2-2;Opération en cours...;Operation in progress...
msg_2-3;Aucun membre affecté;No affected members
msg_2-4;1 membre affecté;1 affected memberé
msg_2-5;membres affectés;affected members
msg-0;Module(s) *{}* correctement importé(s) !;Module(s) *{}* correctly imported !
bug-0;Le bug n°{} n'a pas été trouvé;Bug #{} not found

staff;Commandes réservées au staff;Staff Commands Only
everyone;Commandes pour tout le monde;Commands for Everyone

aide;"__**Bienvenue dans le module des message de join et de leave**__

Ce module vous sert à configurer un message automatique à chaque fois qu'un membre rentre ou sort de votre serveur.

__**La configuration**__

`1-` Pour configurer le salon où ces messages s'écrivent, entrez `!sconfig change welcome_channel` suivi de l'ID du salon (clic droit -> ""Copier l'identifiant"" pour ordinateur, ou rester appuyez sur le salon -> ""Copier l'identifiant"" pour téléphone, mais il vous faudras avoir activer le mode dévellopeur pour obtenir cette option).
`2-` Pour configurer un message, entrez `!sconfig change <welcome|leave> <message>`. Pour ce message vous pouvez utiliser des variables, qui sont {user} pour mentionner le membre, {server} pour le nom du serveur, et {owner} pour le nom du propriétaire du serveur.
";"__**Welcome to the join & leave message module**__

This module is used to configure an automatic message each time a member enters or exits your server.

__** Configuration**__

`1-` To configure the room where these messages are written, enter `!sconfig change welcome_channel` followed by the room ID (right click -> ""Copy ID"" for computer, or keep pressing on the channel -> ""Copy ID"" for phone, but you will need to have enabled the developer mode to get this option).
`2-` To configure a message, enter `!sconfig change <welcome|leave> <message>`. For this message you can use variables, which are {user} to mention the member, {server} for the server name, and {owner} for the server owner name.
"

help;"La syntaxe est `!clear <nombre  | joueur> [true | false]`. Entrez *true* si vous souhaitez conserver les messages épinglés, *false* si vous ne le souhaitez pas
Par défaut, *true* est activé.
**Attention : cette commande est réservée à certains membres du staff !**";"The syntax is `!clear <number | player>[true | false]`. Enter *true* if you wishkeep the pinned messages, *false* if you don't want it. By default, *true* is enabled.
Warning: this command is reserved for certain staff members only!**"
arg;Oups, 2e argument invalide;Oops, invalid 2nd argument
msg-1; messages supprimés !; messages deleted!
msg-2;Désolé {0}, mais en raison des restrictions de Discord cette commande n'est pas disponible en mp :confused:;Sorry {0}, but due to Discord restrictions this command is not available in mp :confused:
msg-3;Désolé {0}, mais tu n'as pas le role requis pour accéder à cette commande;Sorry {0}, but you don't have the required role to access this command
purge-0;"Voulez-vous vraiment effectuer une purge complète de ce salon ? (répondez ""oui"" si oui)";"Do you really want to do a complete purge of this channel? (answer ""yes"" if so)"
purge-1;Temps écoulé, vous n'avez pas répondu à temps :hourglass:;Time expired, you didn't answer fast enough :hourglass:
purge-2;"Oups, fail ¯\_(ツ)_/¯ 
Plaignez-vous à @Z_runner#7515";"Oops, fail ¯\(ツ)_/¯ 
Complain to @Z_runner#7515"

pan-0;Congratulations ! {} a atteint le niveau {} dans ce jeu !;Congratulations! {0} has reached level {1} in this game!
pan-1;Dommage ! {} vient de perdre en niveaux et tombe au niveau {} dans ce jeu :confused:;
check-0;"Oups, il ne vous reste plus de munitions :confused:
Attendez encore {}h {}mn :hourglass:";"Oops, you're out of munitions :confused:
Wait still {0}h {1}mn :hourglass:"
check-1;Nouveau joueur détecté ! Bienvenue à {} !;New player detected! Welcome to {0} !
shop-0;Vous ne semblez avoir jamais participé à ce jeu {}. Pourquoi voulez-vous diable acheter des cartouches ??;You never seem to have participated in this game {0}. Why the hell would you buy ammo??
shop-1;{0} a acheté {1} nouvelle cartouche pour {2} xp !;{0} bought {1} new ammo cartridge for {2} xp !
shop-2;Vous croyiez sérieusement pouvoir acheter un nombre négatif de balles ? :rofl:;You seriously thought you could buy a negative number of bullets? :rofl:
shop-3;Vous n'avez que {0} points d'expérience, ce n'est pas suffisant :upside_down:;You only have {0} experience points, it's not enough :upside_down:
shop-4;Cette commande vous permet d'acheter des munitions sans devoir attendre le prochain rechargement automatique. Pour cela il suffit de taper `!shop` suivit du nombre de cartouches à acheter !;This command allows you to purchase munitions without waiting for the next automatic reload. Just type `!shop` followed by the number of cartridges to buy !
shop-5;Oups, le nombre entré est invalide :upside_down:;Oops, number entered is invalid :upside_down:
reload-0;"Vous ne pouvez pas recharger votre arme manuellement :thinking:
En revanche vous gagnez automatiquement {} toutes les 4 heures, et vous pouvez acheter des cartouches avec la commande `!shop` ! ({}xp par cartouche)";"You can't reload your weapon manually :thinking:
However, you automatically win {0} every 4 hours, and you can buy cartridges with the command `!shop` ! ({1}xp per cartridge)"
rank-0;"**Rang :** {}

**Niveau :** {}

**Points :** {}

**Munitions restantes :** {}";"**Rank :** {0}

**Level :** {1}

**Points :** {2}

**Remaining munitions :** {3}"
rank-1;Impossible de trouver le membre {};Unable to find member {}
top-0;"Oups, il semble y avoir une erreur dans la commande.
Pour rappel, la syntaxe est `!top [nombre]` :innocent:";"Oops, there seems to be an error in the command.
Remember, the syntax is `!top[number]` :innocent:"
top-1;Niveaux d'xp sur *Hunter* - TOP ;xp levels on *Hunter* - TOP 
top-2;Places;Ranks
top-3;Nom;Name
top-4;Points d'expérience;Experience points
